TEAM,YEAR,GP,W,L,MIN,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,AST RATIO,OREB%,DREB%,REB%,TOV%,EFG%,TS%,PACE,PIE
Toronto Raptors,2005-06,82,27,55,3991,107.9,111.2,-3.2,52.9,1.49,15.5,28.6,69.7,48.4,13.9,50,54.8,92.33,45.9
New York Knicks,2005-06,82,23,59,3986,102.7,109.3,-6.6,52,1.01,14.2,34.2,69.7,51.8,19,48.1,53.4,92.03,44.4
Orlando Magic,2005-06,82,36,46,3981,105.3,106.6,-1.3,51.4,1.21,15,33,69.1,51.6,16.8,49.6,54.3,89.12,49.5
Washington Wizards,2005-06,82,42,40,3966,107.7,105.8,1.9,51.2,1.33,14.5,32.9,67.9,49.9,14.8,48.4,53.8,93.68,50.3
Dallas Mavericks,2005-06,82,60,22,3976,109.9,103.2,6.7,50,1.32,14.6,34.7,69,52.2,15,49.5,55,89.3,55.1
New Jersey Nets,2006-07,82,41,41,3976,104.2,105.1,-0.9,67.4,1.62,18.5,27.5,71.4,49.6,15.8,50.4,54.6,92.69,49.9
Utah Jazz,2006-07,82,51,31,3961,108.6,105.6,3,65.9,1.58,18.5,35.2,72.1,53.4,16.7,50.2,55.1,92.81,53.1
Phoenix Suns,2006-07,82,61,21,3981,112.9,105.5,7.4,62.6,1.78,19.3,26.2,68.3,48.4,14.9,55.1,59,96.45,56.1
Charlotte Bobcats,2006-07,82,33,49,4001,102.4,106.3,-3.9,62,1.5,17.1,29.9,68.2,48.5,15.8,48,52.4,93.11,47.1
Minnesota Timberwolves,2006-07,82,32,50,4001,102.4,106.5,-4,61.7,1.45,17.5,29.2,69.8,50,16.6,49,53.7,92.19,48.7
Los Angeles Clippers,2006-07,82,40,42,3946,103.8,104.2,-0.4,61.2,1.42,17,30.7,71.2,51.3,16.4,48.1,53.7,91.92,50.9
Denver Nuggets,2006-07,82,45,37,3956,106.7,105.1,1.7,60.7,1.42,17.1,32.2,67.8,50.2,16.7,50.1,54.8,98.2,51.4
San Antonio Spurs,2006-07,82,58,24,3956,108.6,99.4,9.2,60.5,1.6,17.8,27.9,71.5,50.5,15.3,52.1,56.1,90.22,56.9
Chicago Bulls,2006-07,82,49,33,3956,104,98.8,5.2,60.1,1.4,17,31.9,70.7,51.4,16.8,49.3,53.4,94.47,53.9
Detroit Pistons,2006-07,82,53,29,3976,107.4,102.6,4.8,60.1,1.77,17.3,30.7,67.8,49.3,13.7,48.8,53.5,88.56,53.3
Toronto Raptors,2006-07,82,47,35,3951,105.7,104.4,1.2,60.1,1.65,17.5,25,71.1,48.1,14.3,50.4,55,93.86,51.4
Golden State Warriors,2006-07,82,42,40,3951,106.2,106.5,-0.3,59.8,1.49,17.3,28.5,66.2,47.2,15.9,51.2,54.8,99.97,48.9
Los Angeles Lakers,2006-07,82,42,40,4006,107.3,107.5,-0.2,59.6,1.45,17.1,30,69,49.6,16.1,51.1,55.4,94.58,49.9
Houston Rockets,2006-07,82,52,30,3971,104.7,99.7,4.9,58.6,1.47,16.5,28.7,72.5,50.8,15.3,49.9,54,91.7,52.9
Indiana Pacers,2006-07,82,35,47,3956,101.9,104.4,-2.5,58.5,1.26,15.9,32.1,69.4,50.3,17.3,47.4,52.3,93.43,48.5
Miami Heat,2006-07,82,44,38,3971,103.4,104.6,-1.2,57.6,1.4,16.6,27.9,69.3,49.3,16,50.6,54.1,90.61,50.8
Cleveland Cavaliers,2006-07,82,50,32,3976,104.4,100.6,3.8,57.4,1.45,16.2,32.7,72.1,51.8,15.5,48.4,52.2,91.59,52
Boston Celtics,2006-07,82,24,58,3971,102.3,105.8,-3.5,57,1.21,15.6,30.9,70.5,50.2,17.6,47.9,53,92.91,45.9
Philadelphia 76ers,2006-07,82,35,47,3976,102.4,105.6,-3.2,56.9,1.33,16.1,30.6,67.8,49.3,16.5,48,53,91.84,48.9
Milwaukee Bucks,2006-07,82,28,54,3971,106,110.3,-4.3,56.7,1.43,16.7,30.6,65.7,47.9,16.1,50.4,54.1,93.33,45.6
