coach,team,seas_num_fr,seas_num_ovr,games,wins,losses,fr_g,fr_w,fr_l,car_g,car_w,car_l,car_w_pct,p_g,p_w,p_l,p_fr_g,p_fr_w,p_fr_l,p_car_g,p_car_w,p_car_l,year,Abbrev,Nickname,Key,Season,Draft_Draft_Trade,Trade,Free_Agency,Total_Roster,Wins,Losses,Team_Achievement,All-Star,MVP,First_Round_Draft,Second_Plus_Round_Draft,Undrafted,Avg_Age,GP,W,L,MIN,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,AST RATIO,OREB%,DREB%,REB%,TOV%,EFG%,TS%,PACE,PIE
Brian Shaw,DEN,2,2,59,20,39,141,56,85,141,56,85,0.397,,,,,,,,,,2015,DEN,Nuggets,DEN2015,2015-2016,6.0,6.0,3.0,15.0,33.0,49.0,Lottery,0.0,0.0,10.0,3.0,2.0,24.8,82.0,41.0,41.0,3976.0,104.2,105.1,-0.9,67.4,1.62,18.5,27.5,71.4,49.6,15.8,50.4,54.6,92.69,49.9
Melvin Hunt,DEN,1,1,23,10,13,23,10,13,23,10,13,0.435,,,,,,,,,,2015,DEN,Nuggets,DEN2015,2015-2016,6.0,6.0,3.0,15.0,33.0,49.0,Lottery,0.0,0.0,10.0,3.0,2.0,24.8,82.0,41.0,41.0,3976.0,104.2,105.1,-0.9,67.4,1.62,18.5,27.5,71.4,49.6,15.8,50.4,54.6,92.69,49.9
Stan Van Gundy,DET,1,9,82,32,50,82,32,50,661,403,258,0.61,,,,,,,87.0,48.0,39.0,2015,DET,Pistons,DET2015,2015-2016,5.0,6.0,4.0,15.0,44.0,38.0,First Round,1.0,0.0,7.0,5.0,3.0,25.2,82.0,35.0,47.0,3966.0,109.4,112.7,-3.3,55.1,1.4,16.0,34.0,65.9,49.5,15.7,50.4,55.1,93.04,46.7
Steve Kerr,GSW,1,1,82,67,15,82,67,15,82,67,15,0.8170000000000001,21.0,16.0,5.0,21.0,16.0,5.0,21.0,16.0,5.0,2015,GSW,Warriors,GSW2015,2015-2016,6.0,2.0,7.0,15.0,73.0,9.0,NBA Finals (Loss),3.0,1.0,11.0,2.0,2.0,26.7,82.0,50.0,32.0,3966.0,106.6,104.4,2.1,53.6,1.37,15.3,31.3,71.7,51.4,15.1,49.2,53.8,90.77,51.0
Kevin McHale,HOU,4,6,82,56,26,312,189,123,406,228,178,0.562,17.0,9.0,8.0,29.0,13.0,16.0,29.0,13.0,16.0,2015,HOU,Rockets,HOU2015,2015-2016,5.0,6.0,4.0,15.0,41.0,41.0,First Round,1.0,0.0,10.0,5.0,0.0,25.9,82.0,33.0,49.0,3976.0,104.0,105.6,-1.5,58.1,1.26,16.4,28.9,69.4,49.7,17.6,50.4,55.1,93.27,48.5
Frank Vogel,IND,5,5,82,38,44,349,205,144,349,205,144,0.5870000000000001,,,,54.0,28.0,26.0,54.0,28.0,26.0,2015,IND,Pacers,IND2015,2015-2016,5.0,3.0,7.0,15.0,45.0,37.0,First Round,1.0,0.0,8.0,6.0,1.0,25.4,82.0,38.0,44.0,3961.0,102.3,105.1,-2.8,53.7,1.39,15.1,29.7,70.9,49.7,14.7,46.4,51.5,90.32,48.4
Doc Rivers,LAC,2,16,82,56,26,164,113,51,1224,700,524,0.5720000000000001,14.0,7.0,7.0,27.0,13.0,14.0,148.0,77.0,71.0,2015,LAC,Clippers,LAC2015,2015-2016,4.0,4.0,7.0,15.0,53.0,29.0,First Round,1.0,0.0,10.0,4.0,1.0,28.6,82.0,49.0,33.0,3971.0,104.5,100.4,4.1,57.8,1.4,16.1,29.8,69.0,49.6,15.7,49.6,53.7,87.39,51.6
Byron Scott,LAL,1,14,82,21,61,82,21,61,1019,437,582,0.429,,,,,,,57.0,33.0,24.0,2015,LAL,Lakers,LAL2015,2015-2016,8.0,1.0,5.0,14.0,17.0,65.0,Lottery,1.0,0.0,7.0,6.0,1.0,26.7,82.0,21.0,61.0,3946.0,99.7,110.3,-10.7,53.4,1.24,15.1,30.8,65.7,48.0,16.5,47.4,51.1,88.88,42.4
Dave Joerger,MEM,2,2,82,55,27,164,105,59,164,105,59,0.64,11.0,6.0,5.0,18.0,9.0,9.0,18.0,9.0,9.0,2015,MEM,Grizzlies,MEM2015,2015-2016,4.0,5.0,7.0,16.0,42.0,40.0,First Round,0.0,0.0,9.0,3.0,4.0,27.8,82.0,47.0,35.0,3961.0,103.8,102.2,1.6,57.1,1.44,16.5,28.6,71.9,51.3,15.4,48.7,54.0,92.99,52.3
Erik Spoelstra,MIA,7,7,82,37,45,558,351,207,558,351,207,0.629,,,,99.0,63.0,36.0,99.0,63.0,36.0,2015,MIA,Heat,MIA2015,2015-2016,3.0,2.0,10.0,15.0,48.0,34.0,Second Round,2.0,0.0,8.0,4.0,3.0,27.9,82.0,34.0,48.0,3966.0,100.4,102.1,-1.7,58.3,1.32,15.8,29.1,70.5,50.1,16.2,47.1,51.9,89.07,49.0
Jason Kidd,MIL,1,2,82,41,41,82,41,41,164,85,79,0.518,6.0,2.0,4.0,6.0,2.0,4.0,18.0,7.0,11.0,2015,MIL,Bucks,MIL2015,2015-2016,6.0,5.0,4.0,15.0,33.0,49.0,Lottery,0.0,0.0,11.0,4.0,0.0,23.6,82.0,63.0,19.0,3961.0,106.2,98.7,7.5,57.4,1.52,17.0,28.9,70.8,50.5,15.3,51.3,54.6,89.41,55.4
Flip Saunders,MIN,11,17,82,16,66,819,427,392,1246,654,592,0.525,,,,47.0,17.0,30.0,98.0,47.0,51.0,2015,MIN,Timberwolves,MIN2015,2015-2016,8.0,4.0,2.0,14.0,29.0,53.0,Lottery,0.0,0.0,10.0,2.0,2.0,25.3,82.0,61.0,21.0,3981.0,112.9,105.5,7.4,62.6,1.78,19.3,26.2,68.3,48.4,14.9,55.1,59.0,96.45,56.1
Monty Williams,NOP,5,5,82,45,37,394,173,221,394,173,221,0.439,4.0,0.0,4.0,10.0,2.0,8.0,10.0,2.0,8.0,2015,NOP,Pelicans,NOP2015,2015-2016,1.0,7.0,10.0,18.0,30.0,52.0,Lottery,1.0,0.0,12.0,3.0,3.0,26.0,82.0,41.0,41.0,3946.0,103.1,101.0,2.0,58.5,1.3,16.0,30.4,69.9,50.6,16.8,48.7,53.3,90.85,51.4
Derek Fisher,NYK,1,1,82,17,65,82,17,65,82,17,65,0.207,,,,,,,,,,2015,NYK,NY Knicks,NYK2015,2015-2016,3.0,3.0,9.0,15.0,32.0,50.0,Lottery,1.0,0.0,9.0,2.0,4.0,26.2,82.0,34.0,48.0,3966.0,103.5,104.9,-1.4,57.6,1.47,15.9,29.6,68.6,48.5,14.8,47.9,52.1,94.43,47.5
Scott Brooks,OKC,7,7,82,45,37,545,338,207,545,338,207,0.62,,,,73.0,39.0,34.0,73.0,39.0,34.0,2015,OKC,Thunder,OKC2015,2015-2016,9.0,4.0,2.0,15.0,55.0,27.0,Conference Finals,2.0,0.0,13.0,1.0,1.0,26.2,82.0,41.0,41.0,3981.0,103.3,102.7,0.7,60.1,1.47,16.9,30.3,70.3,50.3,15.8,48.7,52.7,93.59,50.1
Jacque Vaughn,ORL,3,3,52,15,37,216,58,158,216,58,158,0.26899999999999996,,,,,,,,,,2015,ORL,Magic,ORL2015,2015-2016,6.0,5.0,3.0,14.0,35.0,47.0,Lottery,0.0,0.0,10.0,2.0,2.0,24.1,82.0,23.0,59.0,3986.0,102.7,109.3,-6.6,52.0,1.01,14.2,34.2,69.7,51.8,19.0,48.1,53.4,92.03,44.4
James Borrego,ORL,1,1,30,10,20,30,10,20,30,10,20,0.33299999999999996,,,,,,,,,,2015,ORL,Magic,ORL2015,2015-2016,6.0,5.0,3.0,14.0,35.0,47.0,Lottery,0.0,0.0,10.0,2.0,2.0,24.1,82.0,23.0,59.0,3986.0,102.7,109.3,-6.6,52.0,1.01,14.2,34.2,69.7,51.8,19.0,48.1,53.4,92.03,44.4
Brett Brown,PHI,2,2,82,18,64,164,37,127,164,37,127,0.226,,,,,,,,,,2015,PHI,76ers,PHI2015,2015-2016,5.0,4.0,6.0,15.0,10.0,72.0,Lottery,0.0,0.0,6.0,4.0,5.0,23.6,82.0,38.0,44.0,3981.0,104.7,106.5,-1.8,55.1,1.43,15.8,28.5,67.6,48.1,14.9,48.7,53.8,93.91,49.2
Jeff Hornacek,PHO,2,2,82,39,43,164,87,77,164,87,77,0.53,,,,,,,,,,2015,PHO,Suns,PHO2015,2015-2016,4.0,3.0,6.0,14.0,23.0,59.0,Lottery,0.0,0.0,8.0,3.0,3.0,25.0,82.0,44.0,38.0,3966.0,105.3,103.5,1.8,61.8,1.52,17.3,28.9,69.4,49.5,15.6,49.2,54.4,93.26,51.5
Terry Stotts,POR,3,7,82,51,31,246,138,108,529,253,276,0.478,5.0,1.0,4.0,16.0,6.0,10.0,21.0,7.0,14.0,2015,POR,Trail Blazers,POR2015,2015-2016,5.0,5.0,5.0,15.0,44.0,38.0,Second Round,0.0,0.0,10.0,2.0,3.0,24.0,82.0,44.0,38.0,3986.0,104.4,104.1,0.3,62.4,1.58,17.6,30.0,68.2,49.4,15.4,48.8,53.5,94.9,51.2
Mike Malone,SAC,2,2,24,11,13,106,39,67,106,39,67,0.368,,,,,,,,,,2015,SAC,Kings,SAC2015,2015-2016,3.0,1.0,11.0,15.0,33.0,49.0,Lottery,1.0,0.0,11.0,1.0,3.0,25.9,82.0,52.0,30.0,3951.0,107.5,103.4,4.1,55.7,1.43,16.4,29.7,72.6,51.9,15.6,51.7,55.6,92.56,53.8
Tyrone Corbin,SAC,1,5,28,7,21,28,7,21,286,119,167,0.41600000000000004,,,,,,,4.0,0.0,4.0,2015,SAC,Kings,SAC2015,2015-2016,3.0,1.0,11.0,15.0,33.0,49.0,Lottery,1.0,0.0,11.0,1.0,3.0,25.9,82.0,52.0,30.0,3951.0,107.5,103.4,4.1,55.7,1.43,16.4,29.7,72.6,51.9,15.6,51.7,55.6,92.56,53.8
George Karl,SAC,1,26,30,11,19,30,11,19,1917,1142,775,0.596,,,,,,,185.0,80.0,105.0,2015,SAC,Kings,SAC2015,2015-2016,3.0,1.0,11.0,15.0,33.0,49.0,Lottery,1.0,0.0,11.0,1.0,3.0,25.9,82.0,52.0,30.0,3951.0,107.5,103.4,4.1,55.7,1.43,16.4,29.7,72.6,51.9,15.6,51.7,55.6,92.56,53.8
Gregg Popovich,SAS,19,19,82,55,27,1492,1022,470,1492,1022,470,0.685,7.0,3.0,4.0,246.0,152.0,94.0,246.0,152.0,94.0,2015,SAS,Spurs,SAS2015,2015-2016,5.0,1.0,9.0,15.0,67.0,15.0,Second Round,2.0,0.0,9.0,4.0,2.0,30.7,82.0,26.0,56.0,3976.0,104.8,110.1,-5.3,55.2,1.27,15.5,33.4,66.7,49.6,16.9,48.6,53.4,91.75,46.2
Dwane Casey,TOR,4,6,82,49,33,312,154,158,434,207,227,0.47700000000000004,4.0,0.0,4.0,11.0,3.0,8.0,11.0,3.0,8.0,2015,TOR,Raptors,TOR2015,2015-2016,7.0,2.0,6.0,15.0,56.0,26.0,Conference Finals,2.0,0.0,13.0,2.0,0.0,25.2,82.0,33.0,49.0,3971.0,101.5,103.5,-2.0,59.4,1.44,16.9,29.6,67.3,49.0,16.0,48.0,52.4,89.58,50.3
Quin Snyder,UTA,1,1,82,38,44,82,38,44,82,38,44,0.46299999999999997,,,,,,,,,,2015,UTA,Jazz,UTA2015,2015-2016,9.0,2.0,4.0,15.0,40.0,42.0,Lottery,0.0,0.0,9.0,4.0,2.0,23.6,82.0,42.0,40.0,3966.0,107.7,105.8,1.9,51.2,1.33,14.5,32.9,67.9,49.9,14.8,48.4,53.8,93.68,50.3
Randy Wittman,WAS,4,9,82,46,36,295,137,158,602,237,365,0.39399999999999996,10.0,6.0,4.0,21.0,12.0,9.0,21.0,12.0,9.0,2015,WAS,Wizards,WAS2015,2015-2016,4.0,5.0,6.0,15.0,41.0,41.0,Lottery,1.0,0.0,9.0,3.0,3.0,27.0,82.0,60.0,22.0,3976.0,109.9,103.2,6.7,50.0,1.32,14.6,34.7,69.0,52.2,15.0,49.5,55.0,89.3,55.1
Mike Budenholzer,ATL,3,3,82,48,34,246,146,100,246,146,100,0.593,10.0,4.0,6.0,33.0,15.0,18.0,33.0,15.0,18.0,2016,ATL,Hawks,ATL2016,2016-2017,4.0,4.0,6.0,15.0,43.0,39.0,First Round,1.0,0.0,8.0,4.0,3.0,27.6,82.0,35.0,47.0,3971.0,100.6,103.1,-2.6,61.9,1.49,16.9,34.0,68.8,51.4,16.0,45.1,49.8,91.71,49.1
Brad Stevens,BOS,3,3,82,48,34,246,113,133,246,113,133,0.45899999999999996,6.0,2.0,4.0,10.0,2.0,8.0,10.0,2.0,8.0,2016,BOS,Celtics,BOS2016,2016-2017,8.0,4.0,3.0,15.0,53.0,29.0,Conference Finals,1.0,0.0,9.0,6.0,0.0,24.7,82.0,29.0,53.0,3946.0,100.3,104.2,-3.8,53.6,1.27,15.3,29.7,66.1,47.9,16.2,47.5,51.5,93.72,46.6
Lionel Hollins,BRK,2,9,37,10,27,119,48,71,534,262,272,0.491,,,,6.0,2.0,4.0,41.0,20.0,21.0,2016,BRK,Nets,BRK2016,2016-2017,4.0,2.0,9.0,15.0,20.0,62.0,Lottery,0.0,0.0,7.0,6.0,2.0,24.9,82.0,56.0,26.0,3971.0,104.2,100.1,4.1,64.3,1.72,17.9,31.3,70.1,50.6,14.6,48.1,52.2,93.39,53.8
Tony Brown,BRK,1,1,45,11,34,45,11,34,45,11,34,0.244,,,,,,,,,,2016,BRK,Nets,BRK2016,2016-2017,4.0,2.0,9.0,15.0,20.0,62.0,Lottery,0.0,0.0,7.0,6.0,2.0,24.9,82.0,56.0,26.0,3971.0,104.2,100.1,4.1,64.3,1.72,17.9,31.3,70.1,50.6,14.6,48.1,52.2,93.39,53.8
Fred Hoiberg,CHI,1,1,82,42,40,82,42,40,82,42,40,0.512,,,,,,,,,,2016,CHI,Bulls,CHI2016,2016-2017,5.0,6.0,4.0,15.0,41.0,41.0,First Round,1.0,0.0,10.0,3.0,2.0,25.3,82.0,64.0,18.0,3966.0,109.3,101.7,7.6,66.1,2.12,18.9,31.7,68.0,49.7,12.8,49.7,53.5,87.98,55.7
Steve Clifford,CHO,3,3,82,48,34,246,124,122,246,124,122,0.504,7.0,3.0,4.0,11.0,3.0,8.0,11.0,3.0,8.0,2016,CHO,Hornets,CHO2016,2016-2017,4.0,4.0,7.0,15.0,36.0,46.0,Lottery,1.0,0.0,9.0,2.0,4.0,25.3,82.0,50.0,32.0,3976.0,103.4,100.8,2.6,64.6,1.56,17.7,32.5,65.5,48.9,16.0,47.9,52.2,92.6,52.2
David Blatt,CLE,2,2,41,30,11,123,83,40,123,83,40,0.675,,,,20.0,14.0,6.0,20.0,14.0,6.0,2016,CLE,Cavaliers,CLE2016,2016-2017,3.0,5.0,7.0,15.0,51.0,31.0,NBA Finals (Loss),3.0,0.0,11.0,4.0,0.0,29.1,82.0,52.0,30.0,3961.0,110.4,105.9,4.5,59.1,1.96,17.7,33.5,68.6,50.7,12.8,49.5,53.6,94.62,52.7
Tyronn Lue,CLE,1,1,41,27,14,41,27,14,41,27,14,0.659,21.0,16.0,5.0,21.0,16.0,5.0,21.0,16.0,5.0,2016,CLE,Cavaliers,CLE2016,2016-2017,3.0,5.0,7.0,15.0,51.0,31.0,NBA Finals (Loss),3.0,0.0,11.0,4.0,0.0,29.1,82.0,52.0,30.0,3961.0,110.4,105.9,4.5,59.1,1.96,17.7,33.5,68.6,50.7,12.8,49.5,53.6,94.62,52.7
Rick Carlisle,DAL,8,14,82,42,40,640,380,260,1132,661,471,0.584,5.0,1.0,4.0,58.0,28.0,30.0,120.0,58.0,62.0,2016,DAL,Mavericks,DAL2016,2016-2017,2.0,2.0,10.0,15.0,33.0,49.0,Lottery,0.0,0.0,4.0,3.0,8.0,26.5,82.0,21.0,61.0,3966.0,101.4,108.8,-7.4,54.5,1.41,15.2,31.5,65.7,48.1,14.8,46.1,50.4,92.14,43.4
Mike Malone,DEN,1,3,82,33,49,82,33,49,188,72,116,0.38299999999999995,,,,,,,,,,2016,DEN,Nuggets,DEN2016,2016-2017,7.0,7.0,1.0,15.0,40.0,42.0,Lottery,0.0,0.0,13.0,2.0,0.0,25.3,82.0,61.0,21.0,3961.0,102.5,96.2,6.3,64.4,1.5,17.3,32.0,70.6,51.1,16.2,47.1,52.0,88.54,53.9
Stan Van Gundy,DET,2,10,82,44,38,164,76,88,743,447,296,0.602,4.0,0.0,4.0,4.0,0.0,4.0,91.0,48.0,43.0,2016,DET,Pistons,DET2016,2016-2017,6.0,4.0,4.0,15.0,37.0,45.0,Lottery,0.0,0.0,9.0,3.0,3.0,25.0,82.0,45.0,37.0,3986.0,99.7,97.8,1.9,57.7,1.15,15.8,30.5,70.8,51.6,18.6,48.4,52.8,88.92,51.3
Steve Kerr,GSW,2,2,82,73,9,164,140,24,164,140,24,0.8540000000000001,24.0,15.0,9.0,45.0,31.0,14.0,45.0,31.0,14.0,2016,GSW,Warriors,GSW2016,2016-2017,6.0,1.0,8.0,15.0,67.0,15.0,NBA Champion,4.0,0.0,9.0,4.0,2.0,27.2,82.0,54.0,28.0,3956.0,100.3,93.9,6.5,62.0,1.37,16.6,33.2,68.6,51.2,16.8,46.1,51.1,89.34,55.8
Kevin McHale,HOU,5,7,11,4,7,323,193,130,417,232,185,0.556,,,,29.0,13.0,16.0,29.0,13.0,16.0,2016,HOU,Rockets,HOU2016,2016-2017,4.0,3.0,8.0,15.0,55.0,27.0,Second Round,1.0,0.0,6.0,5.0,4.0,25.5,82.0,57.0,25.0,3951.0,101.0,93.1,7.9,59.0,1.39,16.3,31.9,71.0,51.6,16.2,47.3,51.1,90.23,56.6
J.B. Bickerstaff,HOU,1,1,71,37,34,71,37,34,71,37,34,0.521,5.0,1.0,4.0,5.0,1.0,4.0,5.0,1.0,4.0,2016,HOU,Rockets,HOU2016,2016-2017,4.0,3.0,8.0,15.0,55.0,27.0,Second Round,1.0,0.0,6.0,5.0,4.0,25.5,82.0,57.0,25.0,3951.0,101.0,93.1,7.9,59.0,1.39,16.3,31.9,71.0,51.6,16.2,47.3,51.1,90.23,56.6
Frank Vogel,IND,6,6,82,45,37,431,250,181,431,250,181,0.58,7.0,3.0,4.0,61.0,31.0,30.0,61.0,31.0,30.0,2016,IND,Pacers,IND2016,2016-2017,5.0,3.0,7.0,15.0,42.0,40.0,First Round,1.0,0.0,7.0,8.0,0.0,26.1,82.0,41.0,41.0,3956.0,104.6,103.5,1.1,63.0,1.69,17.5,30.8,69.0,49.9,14.4,47.7,52.8,93.2,51.0
Doc Rivers,LAC,3,17,82,53,29,246,166,80,1306,753,553,0.5770000000000001,6.0,2.0,4.0,33.0,15.0,18.0,154.0,79.0,75.0,2016,LAC,Clippers,LAC2016,2016-2017,4.0,3.0,8.0,15.0,51.0,31.0,First Round,1.0,0.0,10.0,4.0,1.0,29.1,82.0,58.0,24.0,3951.0,104.2,98.5,5.7,62.3,1.81,18.2,30.3,69.1,50.7,14.0,48.6,52.8,90.24,55.4
Byron Scott,LAL,2,15,82,17,65,164,38,126,1101,454,647,0.41200000000000003,,,,,,,57.0,33.0,24.0,2016,LAL,Lakers,LAL2016,2016-2017,6.0,2.0,7.0,15.0,26.0,56.0,Lottery,0.0,0.0,10.0,2.0,3.0,25.0,82.0,42.0,40.0,3951.0,100.6,100.3,0.3,57.3,1.38,15.6,30.7,70.7,50.4,15.4,46.3,51.0,89.3,49.6
Dave Joerger,MEM,3,3,82,42,40,246,147,99,246,147,99,0.598,4.0,0.0,4.0,22.0,9.0,13.0,22.0,9.0,13.0,2016,MEM,Grizzlies,MEM2016,2016-2017,6.0,2.0,7.0,15.0,43.0,39.0,First Round,1.0,0.0,7.0,5.0,3.0,26.7,82.0,28.0,54.0,3961.0,101.9,106.6,-4.7,58.7,1.23,15.5,36.2,67.7,51.7,17.6,45.3,51.2,92.49,46.4
Erik Spoelstra,MIA,8,8,82,48,34,640,399,241,640,399,241,0.623,14.0,7.0,7.0,113.0,70.0,43.0,113.0,70.0,43.0,2016,MIA,Heat,MIA2016,2016-2017,2.0,3.0,10.0,15.0,41.0,41.0,Lottery,0.0,0.0,6.0,4.0,5.0,26.6,82.0,41.0,41.0,3996.0,102.1,103.5,-1.5,61.0,1.46,17.2,34.4,67.0,50.7,16.6,47.8,51.5,87.54,48.8
Jason Kidd,MIL,2,3,82,33,49,164,74,90,246,118,128,0.48,,,,6.0,2.0,4.0,18.0,7.0,11.0,2016,MIL,Bucks,MIL2016,2016-2017,6.0,5.0,4.0,15.0,42.0,40.0,First Round,1.0,0.0,10.0,2.0,3.0,24.9,82.0,23.0,59.0,3966.0,95.6,102.1,-6.5,64.1,1.36,16.7,31.1,67.9,49.1,17.2,44.6,48.6,93.23,44.6
Sam Mitchell,MIN,1,6,82,29,53,82,29,53,427,185,242,0.433,,,,,,,11.0,3.0,8.0,2016,MIN,Timberwolves,MIN2016,2016-2017,9.0,2.0,4.0,15.0,31.0,51.0,Lottery,0.0,0.0,13.0,2.0,0.0,24.9,82.0,33.0,49.0,3971.0,97.8,100.4,-2.6,61.1,1.25,16.1,31.3,68.1,49.8,17.7,45.6,50.5,89.26,48.4
Alvin Gentry,NOP,1,13,82,30,52,82,30,52,787,365,422,0.46399999999999997,,,,,,,21.0,12.0,9.0,2016,NOP,Pelicans,NOP2016,2016-2017,2.0,4.0,9.0,15.0,34.0,48.0,Lottery,1.0,0.0,8.0,4.0,3.0,25.5,82.0,41.0,41.0,3976.0,102.4,105.1,-2.7,64.6,1.37,16.9,35.6,70.2,52.6,17.4,46.7,51.9,89.4,49.7
Derek Fisher,NYK,2,2,54,23,31,136,40,96,136,40,96,0.294,,,,,,,,,,2016,NYK,NY Knicks,NYK2016,2016-2017,2.0,4.0,9.0,15.0,31.0,51.0,Lottery,1.0,0.0,6.0,2.0,7.0,26.2,82.0,37.0,45.0,3971.0,101.5,102.6,-1.1,58.5,1.39,16.2,31.2,69.4,50.3,16.1,47.5,51.7,90.95,49.1
Kurt Rambis,NYK,1,4,28,9,19,28,9,19,229,65,164,0.284,,,,,,,8.0,3.0,5.0,2016,NYK,NY Knicks,NYK2016,2016-2017,2.0,4.0,9.0,15.0,31.0,51.0,Lottery,1.0,0.0,6.0,2.0,7.0,26.2,82.0,37.0,45.0,3971.0,101.5,102.6,-1.1,58.5,1.39,16.2,31.2,69.4,50.3,16.1,47.5,51.7,90.95,49.1
Billy Donovan,OKC,1,1,82,55,27,82,55,27,82,55,27,0.6709999999999999,18.0,11.0,7.0,18.0,11.0,7.0,18.0,11.0,7.0,2016,OKC,Thunder,OKC2016,2016-2017,8.0,6.0,1.0,15.0,47.0,35.0,First Round,1.0,1.0,11.0,4.0,0.0,25.1,82.0,33.0,49.0,3996.0,95.3,98.8,-3.4,59.3,1.35,15.9,27.0,67.3,47.1,15.9,45.4,49.5,88.24,47.6
Scott Skiles,ORL,1,14,82,35,47,82,35,47,958,478,480,0.499,,,,,,,42.0,18.0,24.0,2016,ORL,Magic,ORL2016,2016-2017,4.0,4.0,7.0,15.0,29.0,53.0,Lottery,0.0,0.0,9.0,2.0,4.0,24.7,82.0,36.0,46.0,3941.0,100.7,102.2,-1.5,59.2,1.26,16.1,27.9,65.8,47.3,17.2,48.6,53.2,94.47,49.0
Brett Brown,PHI,3,3,82,10,72,246,47,199,246,47,199,0.191,,,,,,,,,,2016,PHI,76ers,PHI2016,2016-2017,6.0,3.0,7.0,16.0,28.0,54.0,Lottery,0.0,0.0,11.0,1.0,4.0,23.8,82.0,28.0,54.0,3981.0,99.1,103.9,-4.8,58.3,1.22,15.7,30.8,68.6,50.0,17.6,46.5,51.4,92.68,46.6
Jeff Hornacek,PHO,3,3,49,14,35,213,101,112,213,101,112,0.474,,,,,,,,,,2016,PHO,Suns,PHO2016,2016-2017,6.0,2.0,7.0,15.0,24.0,58.0,Lottery,0.0,0.0,10.0,1.0,4.0,24.7,82.0,37.0,45.0,3961.0,105.6,106.4,-0.8,60.6,1.5,17.1,30.2,65.5,47.9,15.8,50.1,54.0,91.34,49.1
Earl Watson,PHO,1,1,33,9,24,33,9,24,33,9,24,0.273,,,,,,,,,,2016,PHO,Suns,PHO2016,2016-2017,6.0,2.0,7.0,15.0,24.0,58.0,Lottery,0.0,0.0,10.0,1.0,4.0,24.7,82.0,37.0,45.0,3961.0,105.6,106.4,-0.8,60.6,1.5,17.1,30.2,65.5,47.9,15.8,50.1,54.0,91.34,49.1
Terry Stotts,POR,4,8,82,44,38,328,182,146,611,297,314,0.486,11.0,5.0,6.0,27.0,11.0,16.0,32.0,12.0,20.0,2016,POR,Trail Blazers,POR2016,2016-2017,6.0,4.0,5.0,15.0,41.0,41.0,First Round,0.0,0.0,11.0,3.0,1.0,23.8,82.0,39.0,43.0,3976.0,99.7,101.3,-1.6,58.8,1.31,16.4,30.7,70.1,50.8,17.0,47.4,51.8,91.29,48.8
George Karl,SAC,2,27,82,33,49,112,44,68,1999,1175,824,0.588,,,,,,,185.0,80.0,105.0,2016,SAC,Kings,SAC2016,2016-2017,5.0,4.0,6.0,15.0,32.0,50.0,Lottery,1.0,0.0,12.0,0.0,3.0,25.3,82.0,49.0,33.0,3956.0,102.4,100.9,1.5,67.8,1.68,18.2,27.4,73.0,50.1,14.9,47.8,52.8,91.17,51.3
Gregg Popovich,SAS,20,20,82,67,15,1574,1089,485,1574,1089,485,0.6920000000000001,10.0,6.0,4.0,256.0,158.0,98.0,256.0,158.0,98.0,2016,SAS,Spurs,SAS2016,2016-2017,6.0,0.0,9.0,15.0,61.0,21.0,Conference Finals,1.0,0.0,7.0,4.0,4.0,28.3,82.0,25.0,57.0,3966.0,97.2,102.9,-5.7,55.7,1.07,14.5,33.3,66.7,49.6,18.6,45.4,50.0,93.9,44.1
Dwane Casey,TOR,5,7,82,56,26,394,210,184,516,263,253,0.51,20.0,10.0,10.0,31.0,13.0,18.0,31.0,13.0,18.0,2016,TOR,Raptors,TOR2016,2016-2017,8.0,4.0,3.0,15.0,51.0,31.0,Second Round,2.0,0.0,12.0,2.0,1.0,24.7,82.0,43.0,39.0,3946.0,102.4,101.4,1.0,59.9,1.4,16.5,33.7,66.4,49.8,16.4,46.7,51.7,94.64,50.5
Quin Snyder,UTA,2,2,82,40,42,164,78,86,164,78,86,0.47600000000000003,,,,,,,,,,2016,UTA,Jazz,UTA2016,2016-2017,8.0,4.0,3.0,15.0,51.0,31.0,Second Round,1.0,0.0,10.0,4.0,1.0,25.7,82.0,42.0,40.0,3956.0,100.0,101.3,-1.3,62.1,1.22,16.3,37.3,69.1,52.9,18.8,45.6,50.9,88.26,49.3
Randy Wittman,WAS,5,10,82,41,41,377,178,199,684,278,406,0.406,,,,21.0,12.0,9.0,21.0,12.0,9.0,2016,WAS,Wizards,WAS2016,2016-2017,5.0,5.0,5.0,15.0,49.0,33.0,Second Round,1.0,0.0,10.0,3.0,2.0,24.9,82.0,41.0,41.0,3966.0,100.7,100.6,0.1,61.9,1.4,16.4,33.2,68.1,50.2,16.4,46.0,50.5,90.59,49.1
Mike Budenholzer,ATL,4,4,82,43,39,328,189,139,328,189,139,0.5760000000000001,6.0,2.0,4.0,39.0,17.0,22.0,39.0,17.0,22.0,2017,ATL,Hawks,ATL2017,2017-2018,6.0,1.0,8.0,15.0,24.0,58.0,Lottery,0.0,0.0,5.0,2.0,8.0,23.9,82.0,17.0,65.0,3966.0,95.2,105.1,-9.9,60.1,1.14,15.7,33.8,69.7,51.3,19.1,44.4,49.1,95.32,43.1
